Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-227.81386	134.93152	4.7249618	-524.9322	107.08696	0.008925085	0.13492036	0.3412208	-0.7253592	5000	-6.277561e-08	18410.5	-0.012625183	-4025.713	1.3491802	0.015133683	0.077	42.0	2.6067609786987305
1	-156.303	92.1825	-53.33359	-434.70953	103.895836	-16.173344	3.8010373	-6.625456	-51.248917	10000	6.084442e-08	6904.213	-0.018181736	-4371.637	1.3577877	0.0113721285	0.146	79.0	4.914785623550415
2	-143.97157	85.97793	59.09293	-356.81827	113.27273	-73.10386	7.395729	-30.86011	-136.90909	15000	6.3896177e-09	2083.9573	-0.020514352	-61.538452	1.3434002	0.011859673	0.1578	79.0	7.213013172149658
3	-116.572556	87.54245	7.4689097	-372.45578	118.2381	-71.14043	7.9660807	-49.495796	-155.21161	20000	-1.7213821e-08	2592.9229	-0.017822236	-302.5244	1.321473	0.013822075	0.1226	79.0	9.510419607162476
4	-107.78277	86.28163	2.1752815	-329.58835	133.1892	-58.91845	9.560731	-38.261925	-175.12889	25000	-4.7683715e-09	2253.2544	-0.009530299	-351.76355	1.2851754	0.01531998	0.182	17.0	11.713631629943848
5	-117.326866	83.83904	2.4858482	-317.12973	154.90323	-52.59737	14.863506	-29.475368	-177.21414	30000	-4.673004e-09	1666.5527	-0.01627127	-214.01013	1.2403789	0.015418228	0.2234	42.0	14.200774908065796
6	-102.8648	103.07339	39.490833	-361.46176	190.61539	-50.0432	19.030684	-26.259386	-260.69794	35000	6.8187713e-09	2415.5315	-0.015772132	-276.77393	1.2029545	0.00813098	0.0894	79.0	17.140711307525635
7	-47.95699	68.03009	58.33823	-217.34375	221.5	-45.223896	19.339926	-15.550086	-163.80054	40000	-1.4019013e-08	2478.1995	-0.014460451	-1019.23975	1.2126724	0.009144353	0.1074	79.0	20.319605588912964
8	-15.1289	81.25524	100.41577	-158.95425	375.07693	-16.631062	7.218544	-7.5683804	-103.3955	45000	5.4836273e-09	1138.976	-0.017069055	-136.34515	1.1999813	0.012878079	0.0966	79.0	25.622593641281128
9	-63.044533	64.36445	112.65371	-146.94467	367.46155	-6.8884673	7.6060295	3.3137484	-46.879566	50000	-1.0204316e-08	1101.2914	-0.017236218	-264.79218	1.1699022	0.008495586	0.1334	79.0	29.678974390029907
10	-71.58678	81.10963	62.471764	-241.80156	467.8	-15.792753	10.069674	-1.6046464	-133.41219	55000	-4.673004e-09	1096.1556	-0.015438259	-88.561035	1.1610633	0.009806896	0.1216	79.0	34.02865481376648
11	-6.5510483	47.996372	83.17613	-102.193405	382.27274	-10.884727	8.710867	1.193765	-83.77131	60000	4.7683715e-09	729.3558	-0.015925115	-204.52771	1.1231534	0.007447116	0.0816	79.0	38.919883251190186
12	7.261859	119.526794	143.99513	-220.80563	579.75	-7.9926953	13.274229	16.281105	-77.91465	65000	1.3971329e-08	922.6929	-0.015976163	-295.40808	1.1514083	0.0062173484	0.0924	79.0	43.525513648986816
13	36.996056	65.99009	140.7885	-21.965672	622.375	5.0771413	15.985389	30.71606	-97.42508	70000	-2.5558471e-08	553.8952	-0.013938235	-92.8858	1.1509039	0.008375943	0.0898	79.0	48.71558117866516
14	63.095154	18.255114	81.65645	34.26699	1000.0	-0.5287258	8.799785	18.857962	-80.787544	75000	-7.6293943e-10	237.50945	-0.015101506	-95.15439	1.148516	0.009446218	0.0818	79.0	55.58749580383301
15	33.229946	50.30158	97.91733	-35.744118	811.6667	9.455164	12.473475	27.929224	-84.1281	80000	-1.9073486e-10	346.5959	-0.0144198	-118.92439	1.0562043	0.0069464403	0.0898	79.0	61.853132247924805
16	-55.658295	78.54909	45.02164	-193.24686	778.6667	8.144999	5.6220293	14.427593	-35.018818	85000	-4.005432e-09	512.79785	-0.013882803	-289.73367	1.0588841	0.006388598	0.136	79.0	69.09148383140564
17	2.7787285	88.035614	133.52313	-132.41837	1000.0	-7.4574585	3.3527277	-1.8158927	-28.391216	90000	2.7656555e-09	246.81406	-0.013375338	-76.31563	1.0353812	0.008514364	0.1248	79.0	76.37125992774963
18	-27.081635	37.797012	18.103748	-89.10948	930.2	-0.9299154	2.2485263	3.1009467	-25.571852	95000	-8.5830687e-10	199.5427	-0.013347329	-25.528732	1.0333173	0.0065629897	0.071	79.0	83.78969311714172
19	15.954987	52.3199	87.077774	-43.98461	1000.0	-0.2692616	2.9841282	6.094598	-17.513988	100000	1.1062622e-08	95.591484	-0.009608562	-5.0315475	1.0219862	0.006172744	0.0722	79.0	90.94467854499817
20	0.85885465	58.844612	87.82707	-55.179928	825.4	2.3711724	3.30561	8.549561	-38.869156	105000	2.5749207e-09	302.25906	-0.0117777465	-64.99696	1.0088909	0.0068856566	0.0656	79.0	97.87939405441284
21	28.343197	52.220394	107.42309	-17.81099	1000.0	-3.0099664	4.2639756	6.4244633	-47.664536	110000	-3.4332275e-09	140.87912	-0.011034354	-33.398285	1.0293334	0.0071842177	0.0698	79.0	103.43946504592896
22	-28.475422	138.33578	111.97129	-250.78294	950.8	-1.5024173	9.842717	9.733269	-80.53866	115000	3.0517577e-09	518.5486	-0.01409192	-198.659	0.97185	0.00904517	0.0888	79.0	109.01643514633179
23	55.909313	14.518294	74.16007	35.812824	1000.0	0.19671817	10.337421	15.650851	-68.88099	120000	1.8882751e-08	193.44936	-0.011636814	-101.17043	0.9954984	0.0066114417	0.0734	79.0	116.08074855804443
24	51.81315	20.233406	82.392494	23.0063	1000.0	3.6371648	5.0859575	15.4457655	-11.361331	125000	0.0	86.99573	-0.010792139	-17.933517	0.9828119	0.002523437	0.043	79.0	122.44546246528625
25	14.666722	67.24929	82.59834	-108.6433	935.4	1.9793597	8.14364	12.872272	-48.04021	130000	1.2397766e-09	371.97046	-0.010370095	-95.329346	0.9466776	0.009232464	0.0952	79.0	128.98584842681885
26	15.34138	62.55367	99.98159	-45.75048	1000.0	-3.1880133	5.3737407	13.91441	-15.707197	135000	1.8310548e-08	97.606094	-0.010727721	-27.703178	0.9848791	0.009157364	0.1068	79.0	134.6746804714203
27	60.038197	48.437927	154.45366	24.645046	994.0	1.6112474	7.136239	23.50727	-30.872408	140000	1.9454957e-08	220.60875	-0.013560774	-94.66939	0.9522459	0.009407928	0.1002	79.0	141.94033122062683
28	54.762047	23.104282	82.9623	17.759989	1000.0	1.864852	3.4458477	20.786669	-31.483845	145000	6.198883e-09	115.69184	-0.01107305	-38.894043	0.92739177	0.0041366434	0.0596	79.0	149.04480504989624
29	109.41001	58.26329	182.36197	52.39044	973.4	4.563761	4.1173916	26.696154	-7.551869	150000	-1.2397766e-08	235.2481	-0.007866313	-55.908615	0.90646076	0.015593216	0.0932	31.0	156.75756692886353
30	128.05887	34.46173	156.59608	63.262688	883.2	8.200903	8.413234	40.570732	-18.301918	155000	2.861023e-09	432.21094	-0.009211212	-162.29321	0.92214465	0.008686217	0.0452	79.0	162.77894496917725
31	65.42149	133.70732	180.67023	-130.92183	771.8333	7.3517656	13.204206	62.294567	-8.946582	160000	6.4849854e-09	669.26874	-0.010446	-173.5156	0.94147015	0.0044242195	0.0482	79.0	168.63740634918213
32	133.7456	80.60002	181.01749	-45.45066	790.0	14.555316	22.173851	92.879555	-13.001557	165000	4.768372e-10	344.01526	-0.009069558	-58.506927	0.9064326	0.0058067995	0.0426	79.0	174.15275406837463
33	157.31358	16.584875	186.87741	137.08165	745.3333	12.764187	19.058352	93.94645	-42.98742	170000	8.106232e-09	420.5336	-0.008828334	-134.42691	0.9036113	0.00439571	0.0536	79.0	180.03518676757812
